ID	Schneider.Xr.A	Schneider.Xr.R	Schneider.Xr.N	Schneider.Xr.D	Schneider.Xr.C	Schneider.Xr.Q	Schneider.Xr.E	Schneider.Xr.G	Schneider.Xr.H	Schneider.Xr.I	Schneider.Xr.L	Schneider.Xr.K	Schneider.Xr.M	Schneider.Xr.F	Schneider.Xr.P	Schneider.Xr.S	Schneider.Xr.T	Schneider.Xr.W	Schneider.Xr.Y	Schneider.Xr.V	Grantham.Xr.A	Grantham.Xr.R	Grantham.Xr.N	Grantham.Xr.D	Grantham.Xr.C	Grantham.Xr.Q	Grantham.Xr.E	Grantham.Xr.G	Grantham.Xr.H	Grantham.Xr.I	Grantham.Xr.L	Grantham.Xr.K	Grantham.Xr.M	Grantham.Xr.F	Grantham.Xr.P	Grantham.Xr.S	Grantham.Xr.T	Grantham.Xr.W	Grantham.Xr.Y	Grantham.Xr.V	Schneider.Xd.1	Schneider.Xd.2	Schneider.Xd.3	Schneider.Xd.4	Grantham.Xd.1	Grantham.Xd.2	Grantham.Xd.3	Grantham.Xd.4
16|1	0.0928040473167116	0.0	0.0	0.0	0.0	0.3463618424227131	0.0	0.0721809256907757	0.1543456256005137	0.0	0.158886899028762	0.1205366197641636	0.0	0.2980385831696894	0.0	0.0	0.0	0.2460576434406925	0.0	0.0	0.0677090056774319	0.0	0.0	0.0	0.0	0.2498500277164133	0.0	0.1538222050102443	0.0988768580061939	0.0	0.1150196292837083	0.0667704811154257	0.0	0.2031270170323684	0.0	0.0	0.0	0.1084538806752391	0.0	0.0	0.4530954902512419	0.4083563196036479	0.3424358504722258	0.3474122315574529	0.4421794191729093	0.5633595232893601	0.3078846464484083	0.5824889580333985
18|1	0.2299835313618828	0.0	0.0425839996431993	0.0	0.147335862078121	0.0	0.0	0.0447190199870327	0.0	0.2478685170044504	0.2953106937330207	0.2240320191304437	0.0	0.5539410819460647	0.2076577855968523	0.1284076041709568	0.0	0.0	0.0	0.294062249879719	0.0722406762267414	0.0	0.0005777176724272	0.0	0.2913047881390262	0.0	0.0	0.0410293283642633	0.0	0.0853530341084226	0.0920383010613354	0.0534295031307514	0.0	0.1625415215102262	0.0350428042885317	0.0521239265170612	0.0	0.0	0.0	0.0993154014421297	0.5011921520328044	0.6146539123146447	0.5211281589348248	0.5919244437230777	0.3073689680162554	0.6200511273975728	0.3817454199314402	0.6092091482499861
19|1	0.1941590322225141	0.0	0.0479342621327526	0.0	0.1658471701479927	0.0	0.0	0.0503375268725036	0.0	0.4185161528308474	0.554022650236749	0.1681196321170132	0.0	0.4156922357471064	0.2337479525668769	0.1445407620172276	0.0696684858699456	0.0	0.2335729505585668	0.0	0.0557387467637668	0.0	0.0005943329202014	0.0	0.2996827579740268	0.0	0.0	0.0422093380633214	0.0	0.1317117004485472	0.157808894237039	0.0366440958230176	0.0	0.1114774935275735	0.036050640648307	0.053623018539652	0.0377252340246074	0.0	0.0617047027180264	0.0	0.6416772991761023	0.5677936561382151	0.4971434028140025	0.3356247609797526	0.3625550717766554	0.6372378304526939	0.3537431276893882	0.5341078564723992
20|1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0505324228739055	0.108054286460604	0.1400455189092776	0.3337006235653324	0.3375411098387875	0.2535912660199815	0.0	0.0	0.0	0.0	0.1722600364391102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14055355494962	0.0903477745238003	0.1461963045454592	0.3152942278469641	0.2440435302780711	0.2129431110926442	0.0	0.0	0.0	0.0	0.0990986865386018	0.0	0.0	0.6636973368653623	0.7205799081786814	0.2389111032095907	0.3933540246164722	0.3403626288775173	0.7942763690299401	0.2687418844665792	0.4232598517886191
23|1	0.2578570171408059	0.302387443406661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.073578152086569	0.1674561300249768	0.1677441582789617	0.1380172206404211	0.0776084804318934	0.0	0.0	0.2278912461859394	0.0	0.0	0.1876662907494289	0.1878732498364612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0531325362485362	0.0925325102408428	0.1076538030486307	0.0938331453747612	0.0303446453428661	0.0	0.0	0.1001990665794603	0.0	0.0	0.6199264496504591	0.8161154507192795	0.646945272999815	0.3393012715952798	0.2437642134543691	0.6462735413766164	0.6052133597340597	0.4084148111467058
24|1	0.090431883703157	0.0	0.0	0.0	0.0	0.0	0.0	0.1406718190937998	0.0	0.3898577740881759	0.619302368393016	0.1174555840575029	0.0	0.5808408420006838	0.1633063429015774	0.6058942459867057	0.0	0.0	0.0	0.2312565862880639	0.033751217567288	0.0	0.0	0.0	0.0	0.0	0.0	0.153352915348192	0.0	0.1595095159508018	0.229337441518931	0.0332833869387388	0.0	0.2025073054038005	0.0327443588151882	0.2922308166911836	0.0	0.0	0.0	0.0928013384408229	0.4081637329401204	0.5584724145290307	0.340587538714042	0.2550686671635908	0.364387209984255	0.8432728522170506	0.3706926470448634	0.197655897869573
25|1	0.0	0.5911001594228413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1078716850932185	0.0818348672475956	0.0	0.0	0.0	0.0	0.0	0.6682150080406322	0.0	0.1611234765113491	0.0	0.6347169140518338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1346284774686769	0.0781536879261535	0.0	0.0	0.0	0.0	0.0	0.5077735312415396	0.0	0.2179095191538897	0.6459398145118065	0.7778474144360188	0.2622332584107459	0.3547627901114533	0.4001813796278875	0.6961552441656359	0.2314191744797693	0.5279553070789156
28|1	0.0698733433514685	0.0819400685411199	0.025875647797286	0.0494838921487341	0.2685805166484739	0.2607802206821576	0.0	0.1086918674356176	0.0581043887858534	0.1506142800061532	0.059813979944211	0.181507097216657	0.0	0.112198513189472	0.0630903598474761	0.2340759417523348	0.0752162283399016	0.0	0.3782587528032511	0.0893416690789903	0.0169954572889863	0.01701419994282	0.0002718295713625	0.0009661202706566	0.4111969884685028	0.0627141904126602	0.0	0.0772210044791921	0.0124094084701169	0.0401605832459834	0.0144353854950927	0.0335197614736358	0.0	0.0254931859334886	0.0082442263096034	0.0735765510340326	0.0345087200991223	0.0	0.0846654912799345	0.0233651005432232	0.6605352194179575	0.5446237462224499	0.6818267880830836	0.8032817776229522	0.2563822934310195	0.5180208631226662	0.4642451847667064	0.7458272263883798
29|1	0.0639498828032405	0.1499873207364991	0.0	0.090577864226193	0.0	0.0	0.0	0.0	0.0	0.1378460667960226	0.1094865888465398	0.166119968477473	0.0	0.4107478717927283	0.0	0.0	0.0688398287032503	0.0	0.2307947661756329	0.1635355914861129	0.0526746929114633	0.1054655655194478	0.0	0.0059886695258687	0.0	0.0	0.0	0.0	0.0	0.1244712839235176	0.0894803223100511	0.1038891223735102	0.0	0.3160481574688929	0.0	0.0	0.106954240952779	0.0	0.1749380703143848	0.1448327603114648	0.7561720721560803	0.3403837675606467	0.4889918059962579	0.526555308619662	0.5993639409970763	0.2733706376420994	0.5101954208236568	0.5657554388310254
30|1	0.0	0.1913063777191924	0.0	0.0	0.0	0.0	0.0	0.1268820481655314	0.0	0.3516408132646593	0.5585934229163154	0.0	0.0	0.2619511006753124	0.1472977558636548	0.1821665571155654	0.0	0.0	0.0	0.2085869757640162	0.0	0.093728097691847	0.0	0.0	0.0	0.0	0.0	0.212698154365542	0.0	0.2212372654894983	0.3180875331075422	0.0	0.0	0.1404372717894839	0.0454159261991213	0.1351065617018555	0.0	0.0	0.0	0.1287140408397053	0.4156146729224704	0.5047255588755203	0.4218448159293862	0.4257310199340839	0.3011242345726333	0.7423289319831756	0.4159491117843665	0.3928033748730512
31|1	0.1874590331430335	0.0	0.0694202350334071	0.0	0.24018622628244	0.0	0.0	0.0	0.4676544167226006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1008965706016074	0.0	0.0	0.0	0.1073931663821253	0.0	0.0017176730162972	0.0	0.866108824406151	0.0	0.0	0.0	0.2352426850083016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1090291557391883	0.0	0.0	0.0	0.4095927139566973	0.4916284330854883	0.4073071193553688	0.1921315511999129	0.3352340587433628	0.5092960076984888	0.3229266557870158	0.8042661534205229
33|1	0.1446086254580857	0.2261089396580526	0.0	0.0	0.0	0.3598040630918276	0.2517958631961247	0.1499645004750518	0.0	0.0	0.3301065235288786	0.0	0.0	0.0	0.0870471224990436	0.3229595967601635	0.1556661649588303	0.1278035410100297	0.0	0.0	0.0687841912071949	0.0918133955605325	0.0	0.0	0.0	0.1692116817413441	0.0208538239510417	0.208353100752811	0.0	0.0	0.1557947788299059	0.0	0.0	0.0	0.0222440788811112	0.1985198542032552	0.139664050296064	0.0367253582242182	0.0	0.0	0.6333376669294987	0.5823390942214729	0.5801471256617012	0.6046687988185776	0.2385346702276959	0.6302775678586499	0.5537933642841549	0.4988668983627907
38|1	0.214572948632322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7347272324729363	0.2786936418053416	0.0	0.2296990969897202	0.0	0.0	0.0	0.0	0.0	0.0	0.1806230312933189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61366117820223	0.1781193886886645	0.0	0.1806230312934271	0.0	0.0	0.0	0.0	0.0	0.0	0.6934528171819887	0.321642931794387	0.5275211601186707	0.4173828572764712	0.5431324264978832	0.3360229212755225	0.6141425650663671	0.4342784844677173
39|1	0.1590049173270473	0.0	0.0294415226282769	0.0	0.0	0.0	0.1038236315882748	0.1545881140679627	0.0	0.1713701534230925	0.2722273324804646	0.2065202522372242	0.0	0.0	0.0	0.0887778371106061	0.1283724550220805	0.0	0.1434619623470684	0.1016536781008828	0.0782422834461999	0.0	0.0006257132717868	0.0	0.0	0.0	0.0088954895151686	0.2221898040799045	0.0	0.0924439891280016	0.1329128724643541	0.0771577555600344	0.0	0.0	0.0	0.0564542754289325	0.1191512979078896	0.0	0.0649626667310412	0.0537831606518916	0.5989849829938787	0.7201591380133132	0.7223535240003164	0.4842818718072957	0.2811486407012758	0.6692307739973925	0.5185351607504928	0.4171585521683992
