ID__PseudoAAC0	Pc1.A__PseudoAAC1	Pc1.R__PseudoAAC2	Pc1.N__PseudoAAC3	Pc1.D__PseudoAAC4	Pc1.C__PseudoAAC5	Pc1.Q__PseudoAAC6	Pc1.E__PseudoAAC7	Pc1.G__PseudoAAC8	Pc1.H__PseudoAAC9	Pc1.I__PseudoAAC10	Pc1.L__PseudoAAC11	Pc1.K__PseudoAAC12	Pc1.M__PseudoAAC13	Pc1.F__PseudoAAC14	Pc1.P__PseudoAAC15	Pc1.S__PseudoAAC16	Pc1.T__PseudoAAC17	Pc1.W__PseudoAAC18	Pc1.Y__PseudoAAC19	Pc1.V__PseudoAAC20	Pc2.Hydrophobicity.1__PseudoAAC21	Pc2.Hydrophilicity.1__PseudoAAC22	Pc2.Hydrophobicity.2__PseudoAAC23	Pc2.Hydrophilicity.2__PseudoAAC24	Pc2.Hydrophobicity.3__PseudoAAC25	Pc2.Hydrophilicity.3__PseudoAAC26	Pc2.Hydrophobicity.4__PseudoAAC27	Pc2.Hydrophilicity.4__PseudoAAC28	Pc1.A__APseudoAAC1	Pc1.R__APseudoAAC2	Pc1.N__APseudoAAC3	Pc1.D__APseudoAAC4	Pc1.C__APseudoAAC5	Pc1.Q__APseudoAAC6	Pc1.E__APseudoAAC7	Pc1.G__APseudoAAC8	Pc1.H__APseudoAAC9	Pc1.I__APseudoAAC10	Pc1.L__APseudoAAC11	Pc1.K__APseudoAAC12	Pc1.M__APseudoAAC13	Pc1.F__APseudoAAC14	Pc1.P__APseudoAAC15	Pc1.S__APseudoAAC16	Pc1.T__APseudoAAC17	Pc1.W__APseudoAAC18	Pc1.Y__APseudoAAC19	Pc1.V__APseudoAAC20	Pc2.Hydrophobicity.1__APseudoAAC21	Pc2.Hydrophilicity.1__APseudoAAC22	Pc2.Hydrophobicity.2__APseudoAAC23	Pc2.Hydrophilicity.2__APseudoAAC24	Pc2.Hydrophobicity.3__APseudoAAC25	Pc2.Hydrophilicity.3__APseudoAAC26	Pc2.Hydrophobicity.4__APseudoAAC27	Pc2.Hydrophilicity.4__APseudoAAC28
16|1	0.0867060931353224	0.0	0.0	0.0	0.0	0.120460334595625	0.0	0.1203469058316468	0.2142537174819515	0.0	0.0900831970250957	0.0881901003136346	0.0	0.1380559343157989	0.0	0.0	0.0	0.1355941765105608	0.0	0.0	0.5160145879767435	0.6614161672182629	0.3889421488895493	0.3530132503978214	0.4608733159886062	0.5009516711235796	0.3937324777249655	0.5311501587258012	0.0867060931353224	0.0	0.0	0.0	0.0	0.120460334595625	0.0	0.1203469058316468	0.2142537174819515	0.0	0.0900831970250957	0.0881901003136346	0.0	0.1380559343157989	0.0	0.0	0.0	0.1355941765105608	0.0	0.0	0.5160145879767435	0.6614161672182629	0.3889421488895493	0.3530132503978214	0.4608733159886062	0.5009516711235796	0.3937324777249655	0.5311501587258012
17|1	0.1629260671392712	0.1015471357320468	0.1428671055432236	0.0	0.638081479675422	0.0	0.0836469909993278	0.3392088263438775	0.0	0.2735162872653194	0.0	0.1657146076492385	0.0	0.1297077841358041	0.1068917218232072	0.3130702827464894	0.1192655123094678	0.0	0.2324370866254723	0.249285721923347	0.5306335442646812	0.6167291915829142	0.4559177685971464	0.3940175014835385	0.4715091449272922	0.5614618547912735	0.5029541136914099	0.5262297145227581	0.1629260671392712	0.1015471357320468	0.1428671055432236	0.0	0.638081479675422	0.0	0.0836469909993278	0.3392088263438775	0.0	0.2735162872653194	0.0	0.1657146076492385	0.0	0.1297077841358041	0.1068917218232072	0.3130702827464894	0.1192655123094678	0.0	0.2324370866254723	0.249285721923347	0.5306335442646812	0.6167291915829142	0.4559177685971464	0.3940175014835385	0.4715091449272922	0.5614618547912735	0.5029541136914099	0.5262297145227581
18|1	0.3144969429048774	0.0	0.137888518160217	0.0	0.2052819398451462	0.0	0.0	0.1091293950733181	0.0	0.131992439408275	0.2450596813358396	0.2399097566865252	0.0	0.3755633057797256	0.1031667931519543	0.1007201697544321	0.0	0.0	0.0	0.2405986924968583	0.5618725191853084	0.6594662995996221	0.4120685147706334	0.3267373185162439	0.5398468429419618	0.6025902411534345	0.5493843820230089	0.556314329327379	0.3144969429048774	0.0	0.137888518160217	0.0	0.2052819398451462	0.0	0.0	0.1091293950733181	0.0	0.131992439408275	0.2450596813358396	0.2399097566865252	0.0	0.3755633057797256	0.1031667931519543	0.1007201697544321	0.0	0.0	0.0	0.2405986924968583	0.5618725191853084	0.6594662995996221	0.4120685147706334	0.3267373185162439	0.5398468429419618	0.6025902411534345	0.5493843820230089	0.556314329327379
19|1	0.2321076983262104	0.0	0.135687536547152	0.0	0.2020052219492551	0.0	0.0	0.1073874676437826	0.0	0.194828356832599	0.4019133827717033	0.1573868722006143	0.0	0.246379033626496	0.1015200409942257	0.0991124706896216	0.1132720054681145	0.0	0.2207563145238175	0.0	0.512374512007024	0.5936240332670646	0.4438509664238192	0.3913581367135301	0.5374204026136202	0.6001643310918173	0.5828219284485636	0.5921218545671866	0.2321076983262104	0.0	0.135687536547152	0.0	0.2020052219492551	0.0	0.0	0.1073874676437826	0.0	0.194828356832599	0.4019133827717033	0.1573868722006143	0.0	0.246379033626496	0.1015200409942257	0.0991124706896216	0.1132720054681145	0.0	0.2207563145238175	0.0	0.512374512007024	0.5936240332670646	0.4438509664238192	0.3913581367135301	0.5374204026136202	0.6001643310918173	0.5828219284485636	0.5921218545671866
20|1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1194823928646466	0.212714624177382	0.0722572158030705	0.2683082509619161	0.3502263440719189	0.2531313065401812	0.0	0.0	0.0	0.0	0.1346201346518771	0.0	0.0	0.3666248519774828	0.485940026255243	0.2157151147925083	0.1436958265242035	0.6827210422542295	0.7921762629779158	0.5384576342562778	0.5940324881374142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1194823928646466	0.212714624177382	0.0722572158030705	0.2683082509619161	0.3502263440719189	0.2531313065401812	0.0	0.0	0.0	0.0	0.1346201346518771	0.0	0.0	0.3666248519774828	0.485940026255243	0.2157151147925083	0.1436958265242035	0.6827210422542295	0.7921762629779158	0.5384576342562778	0.5940324881374142
21|1	0.2404662783704945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4163869448508242	0.8152731618850538	0.0	0.1276257739659645	0.0	0.0	0.0	0.1253500025783211	0.0	0.0	0.4392126619917316	0.57849591137173	0.2416282460851413	0.2445647280340012	0.5730136499772778	0.7429574386401278	0.6156196929464153	0.6662462428694618	0.2404662783704945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4163869448508242	0.8152731618850538	0.0	0.1276257739659645	0.0	0.0	0.0	0.1253500025783211	0.0	0.0	0.4392126619917316	0.57849591137173	0.2416282460851413	0.2445647280340012	0.5730136499772778	0.7429574386401278	0.6156196929464153	0.6662462428694618
23|1	0.4998383941960805	0.31153490752422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0865510886968445	0.2541966575287929	0.2449658937333663	0.1326428436233639	0.0546552469340736	0.0	0.0	0.2605552197414073	0.0	0.0	0.4079390677229449	0.5560989414614117	0.2074795305129697	0.2423747806694385	0.5127509221786695	0.6160526280160847	0.7234291008412859	0.639737255704442	0.4998383941960805	0.31153490752422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0865510886968445	0.2541966575287929	0.2449658937333663	0.1326428436233639	0.0546552469340736	0.0	0.0	0.2605552197414073	0.0	0.0	0.4079390677229449	0.5560989414614117	0.2074795305129697	0.2423747806694385	0.5127509221786695	0.6160526280160847	0.7234291008412859	0.639737255704442
24|1	0.075678345555882	0.0	0.0	0.0	0.0	0.0	0.0	0.2100810772754854	0.0	0.1270469512108994	0.3145037247891651	0.0769736087142904	0.0	0.2409944751376398	0.0496506716404378	0.2908391696549544	0.0	0.0	0.0	0.1157919744649336	0.5395859154940861	0.6224508321991136	0.4405735978263733	0.3516741971539577	0.6320374689719066	0.6742741005788508	0.5528084263784679	0.5581782789817168	0.075678345555882	0.0	0.0	0.0	0.0	0.0	0.0	0.2100810772754854	0.0	0.1270469512108994	0.3145037247891651	0.0769736087142904	0.0	0.2409944751376398	0.0496506716404378	0.2908391696549544	0.0	0.0	0.0	0.1157919744649336	0.5395859154940861	0.6224508321991136	0.4405735978263733	0.3516741971539577	0.6320374689719066	0.6742741005788508	0.5528084263784679	0.5581782789817168
25|1	0.0	0.4133163350033571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0861211165428126	0.0843112828790591	0.0	0.0	0.0	0.0	0.0	0.518521645031739	0.0	0.1268300925122842	0.3735234691866259	0.476881041469999	0.0193748425349551	0.0	0.9852645143246788	0.8288005496834229	0.7008600007331659	0.6153268507324701	0.0	0.4133163350033571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0861211165428126	0.0843112828790591	0.0	0.0	0.0	0.0	0.0	0.518521645031739	0.0	0.1268300925122842	0.3735234691866259	0.476881041469999	0.0193748425349551	0.0	0.9852645143246788	0.8288005496834229	0.7008600007331659	0.6153268507324701
28|1	0.1666536812717223	0.1038704505024275	0.146135787166957	0.1148467498450169	0.6526802580235187	0.2315311125396106	0.0	0.4626261929528617	0.2059034691413903	0.139887057242887	0.0865723264772621	0.339012042580484	0.0	0.132675391331651	0.0546686581591723	0.3202330727831425	0.2439884178649011	0.0	0.7132651667783166	0.1274945868898069	0.4239921803704478	0.5920480231439024	0.4350590407461867	0.3719258936689125	0.5069183214476266	0.6220827225748857	0.4871314731047161	0.5231081422290711	0.1666536812717223	0.1038704505024275	0.146135787166957	0.1148467498450169	0.6526802580235187	0.2315311125396106	0.0	0.4626261929528617	0.2059034691413903	0.139887057242887	0.0865723264772621	0.339012042580484	0.0	0.132675391331651	0.0546686581591723	0.3202330727831425	0.2439884178649011	0.0	0.7132651667783166	0.1274945868898069	0.4239921803704478	0.5920480231439024	0.4350590407461867	0.3719258936689125	0.5069183214476266	0.6220827225748857	0.4871314731047161	0.5231081422290711
