ID	Xc1.A	Xc1.R	Xc1.N	Xc1.D	Xc1.C	Xc1.Q	Xc1.E	Xc1.G	Xc1.H	Xc1.I	Xc1.L	Xc1.K	Xc1.M	Xc1.F	Xc1.P	Xc1.S	Xc1.T	Xc1.W	Xc1.Y	Xc1.V	Xc2.lambda1	Xc2.lambda2	Xc2.lambda3	Xc2.lambda4	Xc2.lambda5	Xc2.lambda6	Xc2.lambda7	Xc2.lambda8	Xc2.lambda9	Xc2.lambda10
222|1	0.0	0.2232032481913638	0.0	0.0	0.0	0.0	0.0	0.0735729047709058	0.0495052107451581	0.0840265279549932	0.37269846965126	0.5387301113847534	0.0	0.5085013359072215	0.1038405896438012	0.0692822664545984	0.0	0.0	0.0	0.101851441801757	0.6699425265488292	0.4936361128993589	0.3112347969035915	0.4138468662191452	0.6408400229823583	0.5750966863454996	0.2449858250900269	0.6207478748836942	0.5113723302103883	0.4245634834852099
627|1	0.119110173703244	0.0	0.079173859414324	0.0958666589487465	0.0	0.0	0.0	0.0850967402220478	0.0	0.0971877302304678	0.0862149590309768	0.1780320640790814	0.0	0.2940743349674892	0.0	0.0	0.173910154777247	0.0	0.0	0.4712183492677631	0.4651376131357657	0.4766933599596985	0.2909798135422185	0.3658208245349237	0.6364105080463371	0.5290154236360959	0.3227523813428899	0.3424989756022018	0.4841840854369941	0.3186221476669119
361|1	0.2954119795547646	0.0	0.0	0.0	0.0	0.103167267411595	0.0756559961018363	0.0	0.0710060221950706	0.0	0.1069133346158496	0.0	0.0	0.0	0.0	0.0993725322153317	0.215662279258446	0.0	0.2050669072926219	0.0	0.4245924256012691	0.4032794770453755	0.5581806066353034	0.412709618899975	0.2985645547595609	0.4370280476235172	0.1766159963424305	0.3290969298067791	0.0890172343508693	0.0889476971144825
201|1	0.0619060412334688	0.0	0.1645985411028754	0.0	0.1747420054305593	0.0	0.0	0.0442279794011954	0.0	0.0	0.3584732784966542	0.3701198632190062	0.0	0.15284150245267	0.1248464899972299	0.0	0.090387654369326	0.0	0.1718939148995961	0.1224549576781566	0.4287471769272958	0.415577420890428	0.3663955152686531	0.5235657558005733	0.5668535275810911	0.3613541190013044	0.3502579057026148	0.5488882504584998	0.3788010381368142	0.1908932624332608
679|1	0.2658564827127465	0.1536606480478513	0.1413742126789451	0.0	0.0	0.0	0.1089387751983685	0.189937763856504	0.0	0.3470801839148518	0.2309203828949645	0.5563199821847975	0.0	0.131276054630449	0.1072310490167513	0.0	0.0	0.2042094632721807	0.0	0.4207078170774995	0.6795011947857756	0.5139846893357478	0.3782917496849189	0.4938607923741519	0.6511276273383138	0.3849735440918077	0.3991765660446321	0.5628892634592186	0.4104119775209985	0.3828556620116542
409|1	0.2493936639389538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2166209369082283	0.4473176459628064	0.0	0.123146954769248	0.0	0.0	0.0	0.0	0.0	0.0	0.4966304730414626	0.5762340156287397	0.4433733294454831	0.4008307374322186	0.6863226045623169	0.5187147594877256	0.1637916298521378	0.584819907021583	0.6202948936966304	0.489908417017972
629|1	0.7157697262899368	0.0	0.0	0.0	0.4329431052964099	0.0	0.0	0.6574789626257945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1492970991403115	0.0	0.0	0.0	0.0547817297301821	0.0344685206161274	0.007158359674469	0.1102479391063529	0.0362590771137507	0.0610183526318886	0.0406374258137405	0.1254444893374708	0.0446190957294897	0.0932047015140712
568|1	0.0	0.1795298550982756	0.0825874816985673	1.0	0.1753539500261727	0.5206865227479786	0.1272789277828392	0.1331485959068575	0.1194561017866727	0.202756059919492	0.1798643240025089	0.3714160189399387	0.3098668310932861	0.0	0.0626418505212162	0.1671781485027076	0.0907041909482967	0.2385887071069391	0.0	0.1228837936032827	0.4620459975816669	0.3095649500866216	0.4488330020171704	0.3420796760294771	0.432154838229732	0.4000194036846838	0.4452543663436941	0.4980462758460161	0.3796246928264659	0.3651644722351562
643|1	0.0507959967187252	0.0	0.0	0.0	0.0	0.0	0.0	0.0362905501914789	0.0	0.1657876056225662	0.1470697133547461	0.4555437639770281	0.0	0.1254116125402229	0.0	0.0	0.0	0.0	0.0	0.3014352801991988	0.6545366833342702	0.7536095142221911	0.2716329844965708	0.2951639681149638	0.9442872127080564	0.5433001867898026	0.0782339078668439	0.5930815198736399	0.6017187186959382	0.2444827676658759
107|1	0.0	0.141075935691389	0.0	0.0785807661985597	0.0	0.0	0.0	0.0348763956154109	0.0469347600274493	0.0796636326993738	0.2826775278380629	0.1459307767335957	0.0	0.0	0.0	0.0656849350049968	0.0	0.0	0.1355485884973089	0.1931260530946326	0.6791719320715391	0.5799847021867331	0.5067029565528185	0.3699616671254656	0.5930065034291337	0.5653867289295561	0.3383373246310024	0.4827931242123446	0.4150259181016476	0.6140368036328541
